ParcelMaster.parcelnumber,Parcels.current_taxable
06-133-0006-000,152765
06-133-0007-000,41300
06-133-0008-000,29005
06-133-0009-000,46510
06-133-0011-000,39497
06-133-0012-000,35982
06-133-0013-000,67305
06-133-0014-000,49000
06-133-0015-000,48808
06-133-0016-000,44361
06-133-0017-000,24966
06-133-0018-000,21539
06-133-0020-000,52987
06-133-0021-000,38064
06-133-0022-000,45285
06-133-0023-000,29741
06-133-0024-000,39411
06-133-0025-000,33730
06-133-0026-000,56004
06-133-0027-000,22884
06-133-0028-000,26803
06-133-0029-000,63620
06-133-0030-000,100437
06-133-0032-000,76377
06-133-0033-000,46876
06-133-0034-000,90941
06-133-0035-000,253693
06-133-0036-000,45039
06-133-0040-000,200
06-136-0001-000,22223
06-136-0002-000,37065
06-136-0003-000,16902
06-136-0004-000,25297
06-136-0005-000,30381
06-136-0006-000,2415
06-136-0007-000,36700
06-139-0002-000,54018
06-139-0003-000,44868
06-139-0004-000,39246
06-139-0005-000,0
06-139-0006-000,64567
06-139-0006-001,52763
06-139-0006-002,56357
06-139-0007-000,50382
06-139-0009-000,56347
06-139-0010-000,38226
06-139-0011-000,55020
06-139-0012-000,47749
06-139-0013-000,0
06-139-0014-000,82800
06-139-0015-000,0
06-139-0016-000,0
06-139-0017-000,0
06-139-0018-000,0
06-139-0019-000,88072
06-139-0020-000,0
06-139-0021-000,60500
06-139-0022-000,33336
06-139-0023-000,46700
06-139-0024-000,28573
06-139-0025-000,29575
06-139-0026-000,49700
06-139-0027-000,44091
06-139-0028-000,63500
06-139-0030-000,56890
06-139-0030-100,47600
06-139-0031-000,31302
06-139-0032-000,45163
06-139-0033-000,101000
06-139-0034-000,41607
06-139-0035-000,0
06-139-0035-100,44806
06-139-0035-200,0
06-139-0037-000,94900
06-140-0001-000,46763
06-140-0002-000,35967
06-140-0003-000,0
06-140-0004-000,0
06-140-0004-100,85578
06-140-0005-000,38494
06-140-0006-000,52640
06-140-0007-000,26066
06-140-0008-000,65048
06-140-0009-000,60285
06-140-0010-000,57652
06-140-0011-000,0
06-140-0011-100,55783
06-140-0012-000,0
06-140-0012-100,29925
06-140-0012-200,0
06-140-0013-000,61933
06-140-0014-000,58781
06-140-0015-000,87100
06-140-0016-000,62759
06-140-0017-000,42737
06-140-0018-000,61395
06-140-0020-000,74515
06-140-0021-000,47499
06-140-0022-000,64644
06-140-0023-000,66434
06-140-0024-000,53517
06-140-0026-000,65300
06-142-0001-000,28820
06-142-0002-000,20718
06-142-0003-000,20236
06-142-0004-000,14695
06-142-0005-000,30717
06-142-0006-000,30595
06-142-0007-000,22285
06-142-0008-000,35302
06-142-0009-000,23490
06-142-0010-000,23008
06-142-0011-000,45500
06-145-0001-000,63969
06-145-0002-000,200
06-145-0003-000,34635
06-145-0004-000,39306
06-145-0005-000,69715
06-145-0006-000,132317
06-145-0007-000,31332
06-145-0008-000,36106
06-145-0009-000,75390
06-145-0010-000,57891
06-145-0011-000,52631
06-145-0012-000,43327
06-145-0013-000,167100
06-145-0014-000,77355
06-145-0015-000,52138
06-145-0015-100,72948
06-145-0016-000,74908
06-145-0017-000,67319
06-145-0018-000,90941
06-145-0019-000,76646
06-145-0020-000,73048
06-145-0021-000,59238
06-145-0022-000,185460
06-145-0023-000,70573
06-145-0024-000,71096
06-145-0025-000,83100
06-145-0026-000,50718
06-145-0027-000,53583
06-145-0028-000,26259
06-145-0029-000,5314
06-145-0030-000,0
06-145-0030-100,0
06-145-0030-200,0
06-145-0033-000,103320
06-145-0035-000,200760
06-145-0035-100,0
06-145-0037-000,0
06-145-0037-100,0
06-145-0037-110,63781
06-145-0037-200,0
06-145-0038-000,0
06-145-0038-100,0
06-145-0038-101,51963
06-145-0038-102,0
06-145-0040-000,116800
06-145-0041-000,49815
06-145-0042-000,73338
06-145-0043-000,56180
06-145-0044-000,46631
06-146-0001-000,63436
06-146-0002-000,36594
06-146-0003-000,110145
06-146-0004-000,63280
06-146-0005-000,105265
06-146-0006-000,35370
06-146-0007-000,70233
06-146-0008-000,61257
06-146-0009-000,95130
06-146-0010-000,56914
06-146-0011-000,108045
06-146-0012-000,0
06-146-0013-000,77280
06-146-0014-000,96942
06-146-0014-100,84571
06-146-0015-000,0
06-146-0016-000,44675
06-146-0017-000,0
06-146-0018-000,155642
06-146-0018-100,156138
06-146-0018-200,88341
06-146-0019-000,137844
06-146-0020-000,92495
06-146-0020-100,81518
06-146-0021-000,81396
06-146-0022-000,68427
06-146-0023-000,36471
06-146-0024-000,47070
06-146-0025-000,322700
06-146-0028-000,68700
06-146-0029-000,57409
06-146-0030-000,0
06-146-0031-000,78144
06-146-0032-000,45407
06-146-0033-000,0
06-146-0034-000,60300
06-146-0035-000,42348
06-146-0036-000,68078
06-146-0037-000,40837
06-146-0038-000,43634
06-146-0039-000,61282
06-146-0040-000,47180
06-146-0041-000,40633
06-146-0042-000,0
06-146-0043-000,59485
06-146-0044-000,0
06-146-0044-100,0
06-146-0044-110,70888
06-146-0045-000,58613
06-146-0045-100,54711
06-146-0046-000,56180
06-146-0046-100,10846
06-146-0047-000,0
06-146-0047-100,57037
06-146-0048-000,48836
06-146-0049-000,48115
06-146-0050-000,49875
06-146-0051-000,41126
06-146-0052-000,43149
06-146-0053-000,33792
06-146-0054-000,71272
06-146-0055-000,55813
06-146-0056-000,0
06-146-0057-000,0
06-146-0058-000,38554
06-146-0059-000,24966
06-146-0060-000,48301
06-146-0060-100,24110
06-146-0061-000,33167
06-146-0062-000,25655
06-146-0063-000,40000
06-146-0064-000,0
06-146-0064-100,44765
06-146-0064-200,0
06-146-0065-000,5097
06-146-0066-000,97501
06-146-0067-000,46876
06-146-0068-000,46389
06-146-0069-000,44525
06-146-0070-000,55656
06-146-0071-000,51789
06-146-0072-000,43694
06-146-0072-050,76620
06-146-0072-100,43203
06-146-0072-200,51561
06-146-0072-300,61320
06-146-0073-000,40756
06-146-0075-000,70100
06-146-0077-000,33045
06-146-0077-100,50059
06-146-0077-200,100800
06-146-0077-300,103200
06-146-0077-400,70665
06-146-0078-000,60809
06-146-0078-050,55322
06-146-0078-100,49571
06-146-0078-200,55055
06-146-0078-300,75338
06-146-0079-000,50034
06-146-0080-000,108684
06-146-0081-000,59004
06-146-0082-000,45898
06-146-0083-000,46966
06-146-0084-000,86226
06-146-0086-000,61259
06-146-0087-000,68880
06-146-0088-000,64076
06-146-0090-000,39411
06-146-0091-000,58620
06-146-0092-000,96207
06-146-0093-000,45337
06-146-0094-000,58695
06-146-0095-000,46018
06-146-0096-000,44795
06-146-0097-000,39532
06-146-0098-000,41381
06-146-0099-000,50794
06-146-0100-000,36106
06-146-0101-000,36106
06-146-0102-000,41499
06-146-0106-000,50371
06-146-0107-000,2082
06-146-0108-000,48347
06-146-0109-000,44675
06-146-0110-000,46389
06-146-0111-000,75600
06-146-0112-000,54220
06-146-0113-000,59790
06-146-0114-000,61167
06-146-0115-000,57044
06-146-0116-000,77175
06-146-0117-000,49815
06-146-0118-000,58590
06-146-0119-000,38186
06-146-0120-000,48100
06-146-0121-000,72345
06-146-0122-000,68053
06-149-0002-000,0
06-149-0002-100,0
06-149-0002-200,10420
06-149-0002-300,45539
06-149-0003-000,0
06-149-0003-100,186739
06-149-0004-000,206123
06-149-0005-000,0
06-149-0006-000,1260
06-149-0007-000,25475
06-149-0008-000,45150
06-149-0009-000,0
06-149-0010-000,0
06-149-0011-000,113925
06-149-0011-100,4095
06-149-0012-000,298440
06-149-0013-000,72600
06-149-0014-000,30311
06-149-0015-000,53665
06-149-0016-000,45444
06-149-0017-000,121365
06-149-0018-000,2520
06-149-0019-000,69707
06-149-0020-000,61845
06-149-0021-000,71380
06-149-0022-000,25247
06-149-0023-000,35918
06-149-0024-000,0
06-149-0025-000,80800
06-149-0027-000,70980
06-149-0028-000,48771
06-149-0029-000,44525
06-149-0030-000,0
06-149-0030-100,57953
06-149-0031-000,36148
06-149-0032-000,58028
06-149-0033-000,0
06-149-0034-000,26621
06-149-0035-000,53821
06-149-0036-000,45395
06-149-0037-000,16835
06-149-0038-000,17257
06-149-0039-000,25770
06-149-0040-000,25729
06-149-0041-000,0
06-150-0001-000,61413
06-150-0002-000,97224
06-150-0003-000,81217
06-150-0004-000,94251
